model,strategy,total_processed_items,tp,fp,fn,tn,precision,recall,f1_score,kappa
gemma-3-4b-it,chain-of-thought,3413,792,10120,2937,368407,0.0726,0.2124,0.1082,0.095
gemma-3-4b-it,few-shot,3413,896,102434,2833,276093,0.0087,0.2403,0.0167,-0.0021
gemma-3-4b-it,zero-shot,3413,1135,118981,2594,259546,0.0094,0.3044,0.0183,-0.0006
google/gemma-4-e2b,chain-of-thought,3413,1499,8030,2230,370497,0.1573,0.402,0.2261,0.2151
google/gemma-4-e2b,few-shot,3413,1545,9357,2184,369170,0.1417,0.4143,0.2112,0.1996
google/gemma-4-e2b,zero-shot,3413,2027,11402,1702,367125,0.1509,0.5436,0.2363,0.2244
google/gemma-4-e4b,chain-of-thought,3413,2142,10643,1587,367884,0.1675,0.5744,0.2594,0.2481
google/gemma-4-e4b,few-shot,3413,2111,10593,1618,367934,0.1662,0.5661,0.2569,0.2455
google/gemma-4-e4b,zero-shot,3413,2289,12506,1440,366021,0.1547,0.6138,0.2471,0.2352
qwen3-1.7b,chain-of-thought,3413,1272,7875,2457,370652,0.1391,0.3411,0.1976,0.1863
qwen3-1.7b,few-shot,3413,1564,8434,2163,370095,0.1564,0.4196,0.2279,0.2168
qwen3-1.7b,zero-shot,3413,1661,28220,2061,350314,0.0556,0.4463,0.0989,0.083
qwen3-4b,chain-of-thought,3413,1602,8612,2127,369915,0.1568,0.4296,0.2298,0.2186
qwen3-4b,few-shot,3413,1635,9853,2094,368674,0.1423,0.4385,0.2149,0.2032
qwen3-4b,zero-shot,3413,1768,11774,1961,366753,0.1306,0.4741,0.2047,0.1924
